epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2345.6,0.30722,0.37088,0.93444,0.99269,1,0.995,0.98187,0.18408,0.41279,0.84958,0.000973861,0.000973861,0.000973861
44,2395.49,0.31257,0.36555,0.92083,0.99406,1,0.995,0.98349,0.16825,0.39277,0.84198,0.000957358,0.000957358,0.000957358
45,2446.57,0.32683,0.39985,0.9432,0.98738,0.9986,0.995,0.9702,0.18859,0.39463,0.85462,0.000940855,0.000940855,0.000940855
46,2498.42,0.27361,0.36346,0.90978,0.98958,0.99892,0.995,0.98751,0.19314,0.37687,0.85515,0.000924352,0.000924352,0.000924352
47,2548.72,0.28317,0.34965,0.91536,0.99346,1,0.995,0.98178,0.19277,0.36597,0.84764,0.000907848,0.000907848,0.000907848
48,2603.86,0.27112,0.35199,0.87871,0.99368,1,0.995,0.97822,0.18783,0.35106,0.85034,0.000891345,0.000891345,0.000891345
49,2655.2,0.25529,0.33194,0.90194,0.99337,1,0.995,0.98476,0.16673,0.32756,0.83791,0.000874842,0.000874842,0.000874842
50,2705.13,0.27734,0.35528,0.89984,0.99432,1,0.995,0.99034,0.17907,0.32331,0.85483,0.000858338,0.000858338,0.000858338
51,2755.62,0.25643,0.32403,0.90298,0.99249,1,0.995,0.9922,0.17959,0.33442,0.86112,0.000841835,0.000841835,0.000841835
52,2806.78,0.24521,0.30031,0.90157,0.99129,1,0.995,0.995,0.15389,0.34225,0.83676,0.000825332,0.000825332,0.000825332
53,2859.46,0.2575,0.30556,0.89432,0.99174,0.98873,0.995,0.99159,0.15896,0.35198,0.83192,0.000808828,0.000808828,0.000808828
54,2916.05,0.27521,0.31764,0.90526,0.95798,0.99828,0.99368,0.99101,0.16005,0.35424,0.83662,0.000792325,0.000792325,0.000792325
55,2971.43,0.23717,0.28507,0.89275,0.98918,0.99814,0.995,0.98718,0.15737,0.34982,0.83676,0.000775822,0.000775822,0.000775822
56,3029.95,0.2319,0.2971,0.89658,0.99411,1,0.995,0.98823,0.15848,0.33578,0.83529,0.000759318,0.000759318,0.000759318
57,3081.88,0.24974,0.30695,0.89646,0.9964,1,0.995,0.98509,0.16772,0.31316,0.83706,0.000742815,0.000742815,0.000742815
58,3134.15,0.22977,0.29967,0.8759,0.99663,1,0.995,0.98503,0.14934,0.297,0.82993,0.000726312,0.000726312,0.000726312
